Log_CMIPBA,Log_StatModelBA
-3.044044404,-3.964640928
-3.276759374,-3.961981187
-3.057269447,-3.943936783
-3.125289657,-3.922766654
-3.363321694,-3.921461409
-2.874147163,-3.901252885
-3.338018502,-3.90095771
-3.334208507,-3.886219171
-2.887482809,-3.883168794
-3.315844441,-3.881169177
-3.433721733,-3.877688698
-3.209691644,-3.875352054
-2.908288122,-3.867993956
-3.03832243,-3.859606686
-3.335202609,-3.8512184
-3.417796277,-3.848284165
-3.214740171,-3.845465738
-3.314033997,-3.843470667
-3.331424145,-3.84199068
-3.102650409,-3.837598245
-3.540582417,-3.830559691
-3.130346582,-3.793378909
-3.311967327,-3.779805043
-3.137069396,-3.754433481
-3.469060561,-3.737058975
-3.528356288,-3.735566864
-3.131358852,-3.732228172
-3.317276962,-3.729360495
-2.877698582,-3.72783879
-3.509201731,-3.719453162
-3.316116664,-3.711568797
-3.4446495,-3.702220164
-2.736611126,-3.676928999
-3.105754157,-3.663347995
-2.746122398,-3.656143412
-3.107731141,-3.655005689
-3.023328527,-3.653740312
-2.75934719,-3.64890254
-3.216198024,-3.642370836
-2.907033403,-3.633595865
-3.054919616,-3.612135676
-3.11119313,-3.610374194
-2.877059526,-3.608062363
-3.010351292,-3.586061086
-3.064034801,-3.576941436
-3.486396881,-3.564582093
-2.857184035,-3.555404642
-3.269433603,-3.555126177
-3.468163351,-3.552734741
-3.246541372,-3.543321831
-3.410025767,-3.539361443
-3.169829676,-3.532938171
-3.30828466,-3.527882396
-3.188390331,-3.524219185
-2.881077364,-3.523235378
-3.224296241,-3.521131648
-2.93765218,-3.51507898
-2.887774235,-3.514962901
-2.786568394,-3.487142149
-3.096156349,-3.48637785
-3.213431698,-3.473483722
-3.152348296,-3.472945734
-3.125039418,-3.466446871
-3.441054629,-3.441666839
-3.27671452,-3.439616035
-3.119205991,-3.438743053
-3.400150026,-3.435665082
-2.948452728,-3.431819869
-3.09570422,-3.419547926
-3.538738755,-3.416897917
-3.105008986,-3.404844433
-3.075864403,-3.404135966
-3.212212331,-3.402083094
-3.079586645,-3.39238648
-3.097319333,-3.377760886
-2.76431404,-3.372859145
-2.826883213,-3.372564624
-3.046767095,-3.340225443
-3.192533302,-3.338207911
-3.316264068,-3.337557737
-3.394355863,-3.333231876
-3.238785086,-3.330549317
-2.828000288,-3.326547383
-3.125639483,-3.317253486
-3.173382074,-3.315978196
-3.262372635,-3.315129257
-3.261241826,-3.307677397
-3.136924714,-3.272751873
-3.531061085,-3.266977908
-3.522418698,-3.258564274
-3.404200693,-3.258537102
-3.509726082,-3.255313417
-3.407551368,-3.249569697
-2.692835925,-3.249193811
-3.092196533,-3.243647738
-3.399454194,-3.238654142
-3.395063253,-3.236417176
-3.402785628,-3.229051963
-3.397133063,-3.228130069
-3.298112777,-3.225981085
-3.184320619,-3.224143181
-3.684895239,-3.219209279
-2.861807986,-3.217820226
-3.111113815,-3.212063206
-3.40313595,-3.212043516
-3.387873402,-3.211133013
-3.477825565,-3.206446258
-3.454371589,-3.194808643
-2.954549587,-3.185755008
-2.810440319,-3.175870116
-3.531007365,-3.174522067
-3.497158234,-3.163922681
-3.141816859,-3.163591505
-3.055046063,-3.157881656
-3.545136872,-3.152451721
-3.400884247,-3.148080447
-3.082537539,-3.141320311
-2.943572421,-3.13814985
-3.609985124,-3.137463322
-3.333695377,-3.129573487
-3.210512515,-3.127469845
-3.580114269,-3.112909768
-3.518197496,-3.102185395
-3.059049236,-3.101717264
-3.13980134,-3.096934319
-3.017192418,-3.092482359
-3.26783065,-3.084730617
-2.833141925,-3.075140612
-3.053668897,-3.073910605
-3.08745387,-3.072959717
-2.964221523,-3.070672716
-3.329576794,-3.065242524
-3.592027854,-3.063725374
-3.655452789,-3.062277709
-3.043005706,-3.059885419
-3.552567753,-3.056739511
-3.4850059,-3.054807801
-3.273332963,-3.04856595
-3.599701118,-3.043581321
-2.680668729,-3.042736773
-3.452582863,-3.042380435
-3.549216741,-3.037463481
-3.275060866,-3.03503136
-2.819086553,-3.03408286
-3.612743651,-3.033471524
-3.504973523,-3.03218147
-3.516522648,-3.030597075
-2.844083165,-3.027998746
-3.34518726,-3.021053945
-3.214361713,-3.020718221
-2.832736372,-3.012917678
-3.51265948,-3.012159103
-3.403990626,-3.011716783
-3.504534393,-3.011345324
-3.622778998,-3.011050706
-2.870667291,-3.006083569
-3.539786867,-3.005282461
-3.367826804,-3.002493858
-3.220952457,-3.001452542
-3.483938583,-3.000316336
-3.278286809,-2.99971365
-3.300513849,-2.997455488
-3.231654482,-2.996347258
-3.544368149,-2.991767739
-3.515904863,-2.990510484
-3.670077395,-2.986343019
-3.053078708,-2.981622935
-3.060830732,-2.979232639
-3.575490081,-2.97565266
-3.068008898,-2.975614854
-2.982893361,-2.971943822
-3.305176262,-2.968298565
-3.405993161,-2.960632175
-2.907931854,-2.959004505
-2.977623607,-2.957424967
-3.504973371,-2.95684098
-3.723400952,-2.955652928
-3.557058716,-2.955036306
-3.129681726,-2.954099102
-3.113638309,-2.952454174
-3.495985094,-2.951949733
-3.610818,-2.947882612
-3.70297748,-2.946630902
-3.587413422,-2.944131449
-3.655545298,-2.943058254
-3.121379297,-2.942659688
-3.667270867,-2.942575579
-2.947096417,-2.94182833
-3.513479118,-2.937879239
-3.153517596,-2.933857499
-3.506818692,-2.9337938
-3.437810468,-2.931375792
-3.433782745,-2.931095679
-3.347763179,-2.929470657
-3.468127748,-2.929175695
-3.571780264,-2.927314656
-3.633272656,-2.926862528
-3.047886302,-2.925116623
-3.616090426,-2.919578466
-3.548401653,-2.919139167
-3.220530648,-2.919052161
-3.652686067,-2.918845606
-3.652266915,-2.915464394
-3.645854824,-2.912660534
-3.586075882,-2.911835688
-3.296484728,-2.909956685
-3.331633028,-2.909682809
