Log_DeltaBA,CMIP_deltacVegTree
-2.663265775,6.375315629
-2.663116999,8.352602482
-2.662207609,7.934141188
-2.661878324,7.376893586
-2.660435748,6.962342093
-2.660264824,8.921903498
-2.659388247,9.45928965
-2.6587858,9.46424921
-2.658546714,6.735692135
-2.656962475,7.729780688
-2.65641268,6.033286426
-2.655199988,5.97618527
-2.654478586,7.001925345
-2.651824374,6.014625855
-2.650825934,7.561875758
-2.648895819,5.886859019
-2.64844646,7.557027969
-2.646927712,7.111878438
-2.645051963,7.062701754
-2.643641663,7.073012591
-2.64351378,6.535451793
-2.643427745,5.945412685
-2.643391066,6.828210541
-2.643363884,7.824187621
-2.64248199,5.049027978
-2.641104386,7.164512875
-2.640508652,4.317173015
-2.640250647,6.17178737
-2.64008128,4.119098862
-2.639537918,7.546625307
-2.639478161,8.465639751
-2.63898246,8.330879868
-2.636712501,7.168100639
-2.636091432,8.775156032
-2.635864408,7.667896133
-2.634573855,7.132078624
-2.634387895,5.706433543
-2.633598618,7.556045949
-2.633091203,6.350250307
-2.631733389,7.51114349
-2.630997396,3.866401972
-2.63034653,6.821971464
-2.628594365,6.233729028
-2.62809826,6.24163978
-2.626336458,7.245723629
-2.626269191,8.09745101
-2.62541449,6.324013546
-2.622300936,7.39774999
-2.620865036,7.194866275
-2.620848278,6.344043871
-2.619562611,7.473968663
-2.619458152,7.227757541
-2.619313149,6.26128139
-2.616024386,7.645551537
-2.61392053,4.568386822
-2.613612997,6.812081344
-2.613297728,6.629892382
-2.613071451,7.518131052
-2.612607435,5.251821251
-2.612091689,5.595848364
-2.61197982,4.642284269
-2.611902335,6.359463269
-2.611513247,6.641573574
-2.611481526,6.405678208
-2.611333434,4.748375694
-2.610972343,8.946846329
-2.610255748,3.449899198
-2.609821248,7.877348273
-2.608666389,7.956362654
-2.607939191,4.72962387
-2.607419999,5.379722266
-2.60705292,8.075839625
-2.606664258,6.499209435
-2.604844777,7.768749293
-2.603992453,6.750911024
-2.603955048,6.643496464
-2.60038081,4.017536069
-2.600341515,6.757589512
-2.600287711,7.582776171
-2.600212518,9.517366326
-2.599833628,7.809943359
-2.598257511,9.620056422
-2.596901574,5.614021774
-2.596359563,7.067659626
-2.594774631,8.609100877
-2.593390001,8.634572114
-2.592749791,8.068089888
-2.592385359,8.690262268
-2.592013823,6.280715991
-2.591697391,8.174882404
-2.58946808,6.376690903
-2.588112814,7.009982439
-2.588011339,5.926765955
-2.586488575,7.552208124
-2.586067751,7.212313834
-2.585349031,5.741869394
-2.585160576,4.886564432
-2.585084602,5.839476113
-2.584727775,3.361464699
-2.582009857,8.33442712
-2.581916103,6.940107959
